08-31 10:00:21: Training starting...
08-31 10:00:22: New best reward 13.0 (-100.0%) at episode 0, saving model...
08-31 10:00:22: New best reward 18.0 (+38.5%) at episode 1, saving model...
08-31 10:00:22: New best reward 21.0 (+16.7%) at episode 2, saving model...
08-31 10:00:22: New best reward 45.0 (+114.3%) at episode 3, saving model...
08-31 10:00:23: New best reward 51.0 (+13.3%) at episode 34, saving model...
08-31 10:00:23: New best reward 102.0 (+100.0%) at episode 50, saving model...
08-31 10:00:29: New best reward 119.0 (+16.7%) at episode 846, saving model...
08-31 10:00:32: New best reward 129.0 (+8.4%) at episode 1005, saving model...
08-31 10:00:34: New best reward 133.0 (+3.1%) at episode 1095, saving model...
08-31 10:00:35: New best reward 156.0 (+17.3%) at episode 1140, saving model...
08-31 10:00:39: New best reward 163.0 (+4.5%) at episode 1317, saving model...
08-31 10:00:39: New best reward 172.0 (+5.5%) at episode 1327, saving model...
08-31 10:00:44: New best reward 212.0 (+23.3%) at episode 1523, saving model...
08-31 10:01:05: New best reward 236.0 (+11.3%) at episode 2442, saving model...
08-31 10:01:12: New best reward 357.0 (+51.3%) at episode 2686, saving model...
08-31 10:01:20: New best reward 488.0 (+36.7%) at episode 2980, saving model...
08-31 10:01:25: New best reward 503.0 (+3.1%) at episode 3102, saving model...
08-31 10:02:04: New best reward 679.0 (+35.0%) at episode 4443, saving model...
08-31 10:02:05: New best reward 880.0 (+29.6%) at episode 4460, saving model...
08-31 10:02:11: New best reward 1222.0 (+38.9%) at episode 4520, saving model...
08-31 10:02:12: New best reward 1492.0 (+22.1%) at episode 4521, saving model...
08-31 10:09:56: New best reward 2008.0 (+34.6%) at episode 7862, saving model...
08-31 10:10:39: New best reward 2224.0 (+10.8%) at episode 7979, saving model...
08-31 10:11:00: New best reward 2353.0 (+5.8%) at episode 8024, saving model...
08-31 10:11:59: New best reward 5142.0 (+118.5%) at episode 8173, saving model...
08-31 10:14:02: New best reward 8166.0 (+58.8%) at episode 8309, saving model...
08-31 10:14:39: New best reward 10000.0 (+22.5%) at episode 8337, saving model...
