08-31 14:04:15: Training starting...
08-31 14:04:16: New best reward -8.7 (-100.0%) at episode 0, saving model...
08-31 14:04:16: New best reward -8.1 (-6.9%) at episode 1, saving model...
08-31 14:04:16: New best reward -7.5 (-7.4%) at episode 2, saving model...
08-31 14:04:17: New best reward -6.9 (-8.0%) at episode 4, saving model...
08-31 14:04:17: New best reward -6.3 (-8.7%) at episode 26, saving model...
08-31 14:04:17: New best reward -5.1 (-19.0%) at episode 29, saving model...
08-31 14:04:17: New best reward -3.9 (-23.5%) at episode 47, saving model...
08-31 14:04:17: New best reward -1.5 (-61.5%) at episode 140, saving model...
08-31 14:04:27: New best reward -0.3 (-80.0%) at episode 1276, saving model...
08-31 14:04:37: New best reward 0.9 (-400.0%) at episode 2436, saving model...
08-31 14:04:43: New best reward 3.9 (+333.3%) at episode 3046, saving model...
